,ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,DIRECTORY,EDITION,PAGE,GRID_REFERENCE_X,GRID_REFERENCE_Y,LIGHT_CONDITION,LIGHT_CONDITION_DESC,NO_OF_VEHICLES,NO_PERSONS,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_KILLED,NO_PERSONS_NOT_INJ,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,NODE_ID,NODE_TYPE,AMG_X,AMG_Y,LG_AREA_NAME,REGION_NAME,DEG_URBAN_NAME,LATITUDE,LONGITUDE,POSTCODE,NEAREST_NATIONAL_PARK_NAME
1925,T20180004626,10/03/18,13.00.00,3,Struck animal,6,Saturday,167,STRUCK ANIMAL                        ,VCS,9,80,G,3,1,Day,1,1,0,1,0,0,1,5,Not at intersection,3,80,328411,N,2579949.872,2437153.212,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,RURAL_VICTORIA,-37.56293,145.90502,3779,Yarra Ranges National Park
1926,T20180004669,11/03/18,02.10.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,MEL,43,731,J,6,5,Dark No street lights,1,1,0,1,0,0,1,5,Not at intersection,3,100,328105,N,2519004.632,2333873.835,BASS COAST,EASTERN REGION,RURAL_VICTORIA,-38.49661,145.21781,3922,French Island National Park
1927,T20180004841,13/03/18,19.30.00,3,Struck animal,3,Tuesday,167,STRUCK ANIMAL                        ,VCS,9,102,F,4,2,Dusk/Dawn,2,4,1,2,0,1,1,5,Not at intersection,2,100,180060,N,2565775.132,2319198.092,BASS COAST,EASTERN REGION,RURAL_VICTORIA,-38.62663,145.75516,3996,French Island National Park
1928,T20180005910,28/03/18,13.20.00,3,Struck animal,4,Wednesday,167,STRUCK ANIMAL                        ,VCS,9,37,A,4,1,Day,1,1,1,0,0,0,1,5,Not at intersection,2,100,328853,N,2728955.297,2588443.065,TOWONG,NORTH EASTERN REGION,RURAL_VICTORIA,-36.17532,147.5454,3701,Burrowa - Pine Mountain National Park
1929,T20180006050,29/03/18,16.30.00,3,Struck animal,4,Thursday,167,STRUCK ANIMAL                        ,VCS,9,58,F,9,1,Day,1,1,0,1,0,0,2,2,T intersection,3,999,222125,I,2397319.93,2449360.101,BALLARAT,WESTERN REGION,RURAL_VICTORIA,-37.45071,143.83939,3364,Brisbane Ranges National Park
1930,T20180006506,26/03/18,19.45.00,3,Struck animal,1,Monday,167,STRUCK ANIMAL                        ,VCS,9,602,G,1,2,Dusk/Dawn,1,1,0,1,0,0,2,5,Not at intersection,3,100,328974,N,2430522.417,2535026.57,BENDIGO,NORTHERN REGION,RURAL_VICTORIA,-36.68177,144.22257,3556,Greater Bendigo National Park
1931,T20180006591,07/04/18,10.50.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9,85,E,6,1,Day,1,2,0,2,0,0,1,5,Not at intersection,3,100,329354,N,2781236.404,2411820.228,EAST GIPPSLAND,EASTERN REGION,RURAL_VICTORIA,-37.75213,148.19206,3888,Snowy River National Park
1932,T20180006704,07/04/18,06.30.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9,31,B,6,2,Dusk/Dawn,1,1,0,1,0,0,2,5,Not at intersection,3,100,329476,N,2465598.219,2581796.181,CAMPASPE,NORTHERN REGION,RURAL_VICTORIA,-36.26219,144.61715,3561,Greater Bendigo National Park
1933,T20180007035,14/04/18,08.10.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9,26,F,4,1,Day,1,1,1,0,0,0,1,5,Not at intersection,2,100,329283,N,2253990.595,2589441.477,YARRIAMBIACK,WESTERN REGION,RURAL_VICTORIA,-36.16206,142.26542,3393,Wyperfeld National Park
1934,T20180007534,25/03/18,15.12.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9,97,E,7,1,Day,1,1,1,0,0,0,1,4,Multiple intersection,2,80,335631,N,2604800.605,2347565.02,SOUTH GIPPSLAND,EASTERN REGION,RURAL_VICTORIA,-38.36754,146.19907,3871,Morwell National Park
